project,site,plotid,observer,year,pre_post_fire,postTime,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,fuel1_cm,duff2_cm,litter2_cm,fuel2_cm,fuel3_cm,offset_dist_direction,notes,burnpile_ht_m
CPFMP,BurtonSP,burton26,mm,2020,prefire,,N,,2,2,3,11.3,1,5,3,6.7,4.5,12,3.6,6,9.3,,,,
CPFMP,BurtonSP,burton26,mm,2020,prefire,,S,,2,2,3,11.3,1,2,0,4.4,6.9,10.1,1,3.9,3.6,,,,
CPFMP,BurtonSP,burton26,mm,2020,prefire,,E,,2,2,3,11.3,7,5,2,0.5,2.2,5.4,3.2,4,6.9,,,,
CPFMP,BurtonSP,burton26,mm,2020,prefire,,W,,2,2,3,11.3,2,11,3,8.2,5,13,2.5,4.2,6.7,,,,
CPFMP,BurtonSP,burton28,mm,2020,prefire,,N,,2,2,3,11.3,11,18,5,4.8,3,7.5,2,5,7,,,,
CPFMP,BurtonSP,burton28,mm,2020,prefire,,S,,2,2,3,11.3,0,2,1,6,2,8,8.8,10.5,18.8,,,,
CPFMP,BurtonSP,burton28,mm,2020,prefire,,E,,2,2,3,11.3,5,0,0,2.5,5.5,8,0.5,6,6,,,,
CPFMP,BurtonSP,burton28,mm,2020,prefire,,W,,2,2,3,11.3,0,3,0,2.7,6.7,9.6,0.5,3.4,4,,,,
CPFMP,BurtonSP,burton29,mm,2020,prefire,,N,,2,2,3,11.3,18,5,0,0,0.8,1,1.8,4,6,,,,
CPFMP,BurtonSP,burton29,mm,2020,prefire,,S,,2,2,3,11.3,18,22,0,0,4.2,4,0,2.7,3,,,,
CPFMP,BurtonSP,burton29,mm,2020,prefire,,E,,2,2,3,11.3,13,7,3,1,7.5,8.8,0,2.5,3,,,,
CPFMP,BurtonSP,burton29,mm,2020,prefire,,W,,2,2,3,11.3,23,9,2,6,6,6,0,1.5,23,,,,
CPFMP,BurtonSP,burton30,mm,2020,prefire,,N,,2,2,3,11.3,0,1,0,5,4.5,10,3.3,5.5,8.8,,,,
CPFMP,BurtonSP,burton30,mm,2020,prefire,,S,,2,2,3,11.3,11,2,1,6.3,4.2,10.5,3.3,3.7,7,,,,
CPFMP,BurtonSP,burton30,mm,2020,prefire,,E,,2,2,3,11.3,3,5,3,3.4,8,15,3.6,4.5,8.4,,,,
CPFMP,BurtonSP,burton30,mm,2020,prefire,,W,,2,2,3,11.3,2,1,3,1,6.3,9.8,1.8,5,6.6,,,,
CPFMP,BurtonSP,burton32,mm,2020,prefire,,N,,2,2,3,11.3,4,4,0,0,3.7,4,3.3,1.3,4.6,,,,
CPFMP,BurtonSP,burton32,mm,2020,prefire,,S,,2,2,3,11.3,18,13,2,0,2.5,3.4,0,1.2,1,,,,
CPFMP,BurtonSP,burton32,mm,2020,prefire,,E,,2,2,3,11.3,0,5,0,0.3,0,1,0,0,1,,,,
CPFMP,BurtonSP,burton32,mm,2020,prefire,,W,,2,2,3,11.3,22,3,1,2.5,5,7.5,5,2.2,7.5,,,,
CPFMP,BurtonSP,burton33,mm,2020,prefire,,N,,2,2,3,11.3,0,0,0,0,2.4,2.3,0,2.2,2,,,,
CPFMP,BurtonSP,burton33,mm,2020,prefire,,S,,2,2,3,11.3,1,3,0,2.7,6.3,9,3.3,10.5,10.8,,,,
CPFMP,BurtonSP,burton33,mm,2020,prefire,,E,,2,2,3,11.3,1,0,1,0,0,0.7,0,3,2.5,,,,
CPFMP,BurtonSP,burton33,mm,2020,prefire,,W,,2,2,3,11.3,1,5,0,1.8,6.3,8,0.3,3.3,3,,,,
CPFMP,BurtonSP,burton35,mm,2020,prefire,,N,,2,2,3,11.3,7,3,3,2.8,4.8,7.5,1.5,1.8,3.3,,,,
CPFMP,BurtonSP,burton35,mm,2020,prefire,,S,,2,2,3,11.3,0,0,0,7,4.2,11.2,6.7,5,11.5,,,,
CPFMP,BurtonSP,burton35,mm,2020,prefire,,E,,2,2,3,11.3,15,3,0,0,3.7,4,2,4,6,,,,
CPFMP,BurtonSP,burton35,mm,2020,prefire,,W,,2,2,3,11.3,0,1,1,10,4.2,10.1,2.5,5,7.5,,,,
CPFMP,BurtonSP,burton36,mm,2020,prefire,,N,,2,2,3,11.3,84,10,0,5,2.7,7.6,8.4,8.4,27,,,,
CPFMP,BurtonSP,burton36,mm,2020,prefire,,S,,2,2,3,11.3,22,5,0,4.2,7.8,12,5.2,5.2,8.4,,,,
CPFMP,BurtonSP,burton36,mm,2020,prefire,,E,,2,2,3,11.3,7,5,0,2.5,4.8,8,5,5,7,,,,
CPFMP,BurtonSP,burton36,mm,2020,prefire,,W,,2,2,3,11.3,3,2,1,4,5.4,9,3.5,3.5,8.9,,,,
CPFMP,BurtonSP,burton42,mm,2020,prefire,,N,,2,2,4,11.3,1,4,0,2.3,3.2,5.5,4.2,3.3,7.6,,,,
CPFMP,BurtonSP,burton42,mm,2020,prefire,,S,,2,2,4,11.3,2,1,0,0,3.2,4,5.2,3.4,9.6,,,,
CPFMP,BurtonSP,burton42,mm,2020,prefire,,E,,2,2,4,11.3,4,2,0,1.2,3.4,6.4,0.5,1.5,2,,,,
CPFMP,BurtonSP,burton42,mm,2020,prefire,,W,,2,2,4,11.3,4,5,0,1.2,2.3,3.6,0.8,1.5,2.2,,,,
CPFMP,BurtonSP,burton43,mm,2020,prefire,,N,,2,2,3,11.3,3,5,0,4.8,6.3,13.2,5,3.7,8.4,,,,
CPFMP,BurtonSP,burton43,mm,2020,prefire,,S,,2,2,3,11.3,15,13,0,0,1,1,5.2,4.2,12.6,,,,
CPFMP,BurtonSP,burton43,mm,2020,prefire,,E,,2,2,3,11.3,8,1,0,6.9,3.4,10.2,4.2,3.4,7.6,,,,
CPFMP,BurtonSP,burton43,mm,2020,prefire,,W,,2,2,3,11.3,1,3,1,3.2,2.3,5.5,4.2,3.6,7.8,,,,
CPFMP,BurtonSP,burton44,mm,2020,prefire,,N,,2,2,3,11.3,8,8,5,0.5,2.2,2.7,0.7,2.7,3.3,,,,
CPFMP,BurtonSP,burton44,mm,2020,prefire,,S,,2,2,3,11.3,2,3,4,3.9,4.8,9.3,0,0.5,1,,,,
CPFMP,BurtonSP,burton44,mm,2020,prefire,,E,,2,2,3,11.3,3,4,3,1.8,4,5.5,9.3,15.8,27,,,,
CPFMP,BurtonSP,burton44,mm,2020,prefire,,W,,2,2,3,11.3,10,11,2,4.4,3.9,8.2,4,4.4,8.2,,,,
CPFMP,BurtonSP,burton47,mm,2020,prefire,,N,,2,2,3,11.3,5,1,0,3.3,4,7.5,3,1.1,3.6,,,,
CPFMP,BurtonSP,burton47,mm,2020,prefire,,S,,2,2,3,11.3,,,,,,,,,,,,missingdata,
CPFMP,BurtonSP,burton47,mm,2020,prefire,,E,,2,2,3,11.3,,,,,,,,,,,,missingdata,
CPFMP,BurtonSP,burton47,mm,2020,prefire,,W,,2,2,3,11.3,5,2,0,1.5,2.5,30,1.2,2.4,50,,,,
CPFMP,Calaveras,BigTrees01,pm,2020,prefire,,0,,2,2,4,11.3,11,4,3,0.5,5.5,5.5,50.3,0.5,45.8,,,,
CPFMP,Calaveras,BigTrees01,pm,2020,prefire,,180,,2,2,4,11.3,5,3,0,0,0,6.5,40.7,11,43,,,,
CPFMP,Calaveras,BigTrees01,pm,2020,prefire,,90,25,2,2,4,11.3,18,7,3,4,7,2,10,3,15.8,,,,
CPFMP,Calaveras,BigTrees01,pm,2020,prefire,,270,25,2,2,4,11.3,16,3,0,0,3.5,2.5,5.2,1,5.5,,,,
CPFMP,Calaveras,BigTrees02,mm,2020,prefire,,0,,2,2,3,11.3,101,5,1,3.2,5,6,10,1,9,,,,
CPFMP,Calaveras,BigTrees02,mm,2020,prefire,,180,,2,2,3,11.3,51,15,1,2.7,4,6.3,13,20,34,,,,
CPFMP,Calaveras,BigTrees02,mm,2020,prefire,,90,,2,2,3,11.3,18,3,0,5,6.9,3,12,1.5,5,,,,
CPFMP,Calaveras,BigTrees02,mm,2020,prefire,,270,,2,2,3,11.3,55,6,3,3,5.1,4.2,8,0.3,5,,,,
CPFMP,Calaveras,BigTrees03,mm,2020,prefire,,0,,2,2,3,11.3,22,12,9,9.3,3.6,3.6,18,5,9,,,,
CPFMP,Calaveras,BigTrees03,mm,2020,prefire,,180,,2,2,3,11.3,18,10,9,4.4,3.2,8.2,8,0,10,,,,
CPFMP,Calaveras,BigTrees03,mm,2020,prefire,,90,,2,2,3,11.3,11,9,2,2.4,3.4,3.7,8,1.8,5.5,,,,
CPFMP,Calaveras,BigTrees03,mm,2020,prefire,,270,,2,2,3,11.3,30,8,2,0,3.4,4.8,3.3,5,13,,,,
CPFMP,Calaveras,BigTrees04,pm,2020,prefire,,270,,2,2,4,11.3,31,11,2,1,3,1,9,0,46,,,,
CPFMP,Calaveras,BigTrees04,pm,2020,prefire,,0,,2,2,4,11.3,55,10,4,0,6.5,28,41.5,0.25,38.5,,,,
CPFMP,Calaveras,BigTrees04,pm,2020,prefire,,180,,2,2,4,11.3,15,2,0,0.25,11,3,16,7.5,8.7,,,,
CPFMP,Calaveras,BigTrees04,pm,2020,prefire,,90,,2,2,4,11.3,51,12,2,2,6,2,14.7,0,9.7,,,,
CPFMP,Calaveras,BigTrees05,pm,2020,prefire,,270,,2,2,4,11.3,64,8,4,3,4.5,5.5,101.2,4,7.7,,,,
CPFMP,Calaveras,BigTrees05,pm,2020,prefire,,0,,2,2,4,11.3,0,0,5,3,2,3.5,15,1,20.7,,,,
CPFMP,Calaveras,BigTrees05,pm,2020,prefire,,180,,2,2,4,11.3,21,5,2,1,3,7,7,2,10.5,,,,
CPFMP,Calaveras,BigTrees05,pm,2020,prefire,,90,,2,2,4,11.3,23,12,0,6,8,7,22.3,5.5,14,,,,
CPFMP,Calaveras,BigTrees06,pm,2020,prefire,,0,,2,2,4,11.3,2,4,0,0.25,3.5,2.5,6.7,1,7.2,,,,
CPFMP,Calaveras,BigTrees06,pm,2020,prefire,,180,,2,2,4,11.3,29,4,3,3,3.5,0.5,7.3,11.5,5.3,,,,
CPFMP,Calaveras,BigTrees06,pm,2020,prefire,,90,,2,2,4,11.3,11,2,0,1,3.5,6.5,25.3,5.5,51.5,,,,
CPFMP,Calaveras,BigTrees06,pm,2020,prefire,,270,,2,2,4,11.3,10,3,0,3.5,5,4,7.5,6,18.8,,,,
CPFMP,Calaveras,BigTrees07,mm,2020,prefire,,0,43,2,2,3,11.3,7,3,0,4.8,13.9,8.4,18,8.2,18,,,,
CPFMP,Calaveras,BigTrees07,mm,2020,prefire,,180,45,2,2,3,11.3,10,5,2,1.1,2.7,3.9,3.9,5,9.3,,,,
CPFMP,Calaveras,BigTrees07,mm,2020,prefire,,90,,2,2,3,11.3,23,3,1,2.7,4.2,6.3,8.2,5.4,11.9,,,,
CPFMP,Calaveras,BigTrees07,mm,2020,prefire,,270,,2,2,3,11.3,3,5,1,12,9.1,6.6,25,6.9,22,,,,
CPFMP,Calaveras,BigTrees08,mm,2020,prefire,,0,,2,2,3,11.3,22,5,0,3.9,4.5,6.3,8.8,2.5,9.3,,,,
CPFMP,Calaveras,BigTrees08,mm,2020,prefire,,180,,2,2,3,11.3,18,3,1,2.4,10.1,4.8,12,10.8,15,,,,
CPFMP,Calaveras,BigTrees08,mm,2020,prefire,,90,,2,2,3,11.3,20,2,2,6,7.3,5,15,4.2,11,,,,
CPFMP,Calaveras,BigTrees08,mm,2020,prefire,,270,,2,2,3,11.3,12,0,0,6.3,6.9,3.9,18,4.8,10,,,,
CPFMP,Calaveras,BigTrees09,mm,2020,prefire,,0,,2,2,3,11.3,18,1,2,2.7,3.7,3.6,6,2.4,6,,,,
CPFMP,Calaveras,BigTrees09,mm,2020,prefire,,180,,2,2,3,11.3,10,7,2,2.2,6,8.2,8,5,13,,,,
CPFMP,Calaveras,BigTrees09,mm,2020,prefire,,90,27,2,2,3,11.3,27,5,2,3.2,5,4.8,10,4.8,13,,,,
CPFMP,Calaveras,BigTrees09,mm,2020,prefire,,270,,2,2,3,11.3,23,5,1,6.4,3.7,7.8,12,2.2,15,,,,
CPFMP,Calaveras,BigTrees10,mm,2020,prefire,,0,,2,2,3,11.3,11,7,1,5,3.6,4,9.3,4.8,9.1,,,,
CPFMP,Calaveras,BigTrees10,mm,2020,prefire,,180,,2,2,3,11.3,9,7,3,7,5.5,5.5,13,4,10,,,,
CPFMP,Calaveras,BigTrees10,mm,2020,prefire,,90,,2,2,3,11.3,15,6,3,3.7,6,6,10,2,8,,,,
CPFMP,Calaveras,BigTrees10,mm,2020,prefire,,270,,2,2,3,11.3,42,18,3,8.4,12,4.8,23,5,10.1,,,,
CPFMP,Calaveras,BigTrees11,mm,2020,prefire,,0,,2,2,3,11.3,27,10,5,3,5,1.5,10,2.5,12,,,,
CPFMP,Calaveras,BigTrees11,mm,2020,prefire,,180,,2,2,3,11.3,8,2,0,1.5,3.7,0.5,5,1.5,1.2,,,,
CPFMP,Calaveras,BigTrees11,mm,2020,prefire,,90,,2,2,3,11.3,2,3,4,1.2,4,6.3,5,2.2,9.6,,,,
CPFMP,Calaveras,BigTrees11,mm,2020,prefire,,270,,2,2,3,11.3,36,10,0,2.2,3.2,5.4,5,2.3,8,,,,
CPFMP,Calaveras,BigTrees12,mm,2020,prefire,,0,,2,2,3,11.3,18,9,0,5,7.6,2.7,13,4,7.3,,,,
CPFMP,Calaveras,BigTrees12,mm,2020,prefire,,180,,2,2,3,11.3,8,7,6,8.2,7.3,5.4,20,1.8,8.2,,,,
CPFMP,Calaveras,BigTrees12,mm,2020,prefire,,90,,2,2,3,11.3,15,3,0,3.4,4,4.2,8,5,10,,,,
CPFMP,Calaveras,BigTrees12,mm,2020,prefire,,270,,2,2,3,11.3,23,10,1,5.6,7.3,6,13,5,12,,,,
CPFMP,Calaveras,BigTrees13,mm,2020,prefire,,0,,2,2,3,11.3,3,3,1,23.4,9.1,22,34,13,3.9,,,,
CPFMP,Calaveras,BigTrees13,mm,2020,prefire,,180,,2,2,3,11.3,3,18,5,3.7,4,4.4,8,4,100,,,,
CPFMP,Calaveras,BigTrees13,mm,2020,prefire,,90,,2,2,3,11.3,20,12,2,5,6.9,5,13,15,23,,,,
CPFMP,Calaveras,BigTrees13,mm,2020,prefire,,270,,2,2,3,11.3,34,15,6,4.3,7.8,8.2,13,4,12,,,,
CPFMP,Calaveras,BigTrees14,pm,2020,prefire,,0,,2,2,4,11.3,27,11,7,1,7,13,100.3,1.5,89.2,,,,
CPFMP,Calaveras,BigTrees14,pm,2020,prefire,,0,,2,2,4,11.3,7,8,0,9,12.5,11.5,17.3,17,35.8,,,,
CPFMP,Calaveras,BigTrees14,pm,2020,prefire,,180,,2,2,4,11.3,25,6,1,11,16,5.5,22,1,8.3,,,,
CPFMP,Calaveras,BigTrees14,pm,2020,prefire,,90,,2,2,4,11.3,14,6,0,0.25,3,4,7.3,3,15.5,,,,
CPFMP,Calaveras,BigTrees15,mm,2020,prefire,,0,,2,2,3,11.3,63,13,0,1.5,4.8,1,6.9,3.2,9,,,,
CPFMP,Calaveras,BigTrees15,mm,2020,prefire,,180,,2,2,3,11.3,15,5,0,5,4,4.5,9,10.1,15,,,,
CPFMP,Calaveras,BigTrees15,mm,2020,prefire,,90,36,2,2,3,11.3,48,5,1,2.6,4.5,2.7,8,0.2,3,,,,
CPFMP,Calaveras,BigTrees15,mm,2020,prefire,,270,36,2,2,3,11.3,45,11,1,0.2,4,3.5,4,0.1,4,,,,
CPFMP,Calaveras,BigTrees17,mm,2020,prefire,,0,,2,2,3,11.3,32,13,2,4,1,11,5.2,6,29.8,,,,
CPFMP,Calaveras,BigTrees17,mm,2020,prefire,,180,,2,2,3,11.3,36,5,9.3,5,5,3.6,10,6,9,,,,
CPFMP,Calaveras,BigTrees17,mm,2020,prefire,,90,,2,2,3,11.3,5,1,8.2,23,2.5,3.2,25,0.3,3,,,,
CPFMP,Calaveras,BigTrees17,mm,2020,prefire,,270,,2,2,3,11.3,18,8,4,4,5,3.4,10,5,8,,,,
CPFMP,Calaveras,BigTrees18,mm,2020,prefire,,0,,2,2,3,11.3,34,7,11,7.3,3.7,2.7,11,0,2,,,,
CPFMP,Calaveras,BigTrees18,mm,2020,prefire,,180,,2,2,3,11.3,45,9,3.3,0.3,3.6,13,3.3,3.3,9.3,,,,
CPFMP,Calaveras,BigTrees18,mm,2020,prefire,,90,,2,2,3,11.3,18,2,3,1.2,1.8,3.7,3,5,8.2,,,,
CPFMP,Calaveras,BigTrees18,mm,2020,prefire,,270,,2,2,3,11.3,20,15,7,3.4,3.7,4,7,4.2,4,,,,
CPFMP,Calaveras,BigTrees19,mm,2020,prefire,,0,,2,2,3,11.3,55,5,5,3,4.8,2.2,6.6,0.5,2.5,,,,
CPFMP,Calaveras,BigTrees19,mm,2020,prefire,,180,,2,2,3,11.3,4,3,2,2.2,5.2,4.2,7,7,11,,,,
CPFMP,Calaveras,BigTrees19,mm,2020,prefire,,90,,2,2,3,11.3,10,2,0,5.5,1.1,4,6.3,4,8,,,,
CPFMP,Calaveras,BigTrees19,mm,2020,prefire,,270,,2,2,3,11.3,44,2,1,6.3,5,0.5,10,0,0.5,,,,
CPFMP,Calaveras,BigTrees20,mm,2020,prefire,,0,,2,2,3,11.3,5,8,5,5.6,2.7,3,8.8,6.6,9.6,,,,
CPFMP,Calaveras,BigTrees20,mm,2020,prefire,,180,,2,2,3,11.3,18,9,2,5.4,2.4,1.2,6.9,4.8,6,,,,
CPFMP,Calaveras,BigTrees20,mm,2020,prefire,,90,,2,2,3,11.3,1,5,5,4.8,2.2,2,7,3.2,5,,,,
CPFMP,Calaveras,BigTrees20,mm,2020,prefire,,270,,2,2,3,11.3,5,2,2,18,7.3,2.2,25,8.4,10,,,,
CPFMP,Calaveras,BigTrees21,mm,2020,prefire,,0,,2,2,3,11.3,18,5,2,6.5,5.6,5.4,13,6.3,12,,,,
CPFMP,Calaveras,BigTrees21,mm,2020,prefire,,180,,2,2,3,11.3,12,2,1,2.7,3,5,7,5.4,10.2,,,,
CPFMP,Calaveras,BigTrees21,mm,2020,prefire,,90,,2,2,3,11.3,3,5,2,24.6,7.6,7,32,7.6,15,,,,
CPFMP,Calaveras,BigTrees21,mm,2020,prefire,,270,,2,2,3,11.3,10,12,5,3,4.8,2.7,15.5,6,25,,,,
CPFMP,Calaveras,BigTrees22,pm,2020,prefire,,0,,2,2,4,11.3,15,8,2,3,6.5,4,13.5,23,34.3,,,,
CPFMP,Calaveras,BigTrees22,pm,2020,prefire,,180,,2,2,4,11.3,21,7,2,2.5,3.5,7,11.3,4,11,,,,
CPFMP,Calaveras,BigTrees22,pm,2020,prefire,,90,,2,2,4,11.3,28,6,1,2.5,3.5,8,16.2,2.5,27.7,,,,
CPFMP,Calaveras,BigTrees22,pm,2020,prefire,,270,,2,2,4,11.3,10,0,0,7,4,3,14.3,4.5,28.3,,,,
CPFMP,Calaveras,BigTrees23,mm,2020,prefire,,0,,2,2,3,11.3,13,5,0,4.8,5.4,3,8.7,6.3,8.8,,,,
CPFMP,Calaveras,BigTrees23,mm,2020,prefire,,180,,2,2,3,11.3,18,10,0,3.7,3.9,4.5,7.5,4.2,8.4,,,,
CPFMP,Calaveras,BigTrees23,mm,2020,prefire,,90,,2,2,3,11.3,20,5,3,3.4,3.6,2.7,7,3,6,,,,
CPFMP,Calaveras,BigTrees23,mm,2020,prefire,,270,,2,2,3,11.3,13,10,0,1.5,2.8,1.1,4.6,5.2,6.4,,,,
CPFMP,Calaveras,BigTrees24,pm,2020,prefire,,0,,2,2,4,11.3,38,17,2,11,11,10.5,24.3,1.5,15,,,,
CPFMP,Calaveras,BigTrees24,pm,2020,prefire,,180,,2,2,4,11.3,42,13,0,5,8,10.5,17.6,10,21.2,,,,
CPFMP,Calaveras,BigTrees24,pm,2020,prefire,,90,,2,2,4,11.3,12,13,1,7,5,8.5,8.3,0,29.2,,,,
CPFMP,Calaveras,BigTrees24,pm,2020,prefire,,270,,2,2,4,11.3,8,2,1,7.5,4.5,6.5,5.7,6,10.7,,,,
CPFMP,Calaveras,BigTrees25,pm,2020,prefire,,0,,2,2,4,11.3,24,9,8,5,12,0,31,0,53.3,,,,
CPFMP,Calaveras,BigTrees25,pm,2020,prefire,,180,,2,2,4,11.3,0,0,0,0,0,0,143.3,0,110,,,,
CPFMP,Calaveras,BigTrees25,pm,2020,prefire,,90,,2,2,4,11.3,36,3,0,2,7,11.5,19.2,0.25,22.8,,,,
CPFMP,Calaveras,BigTrees25,pm,2020,prefire,,270,,2,2,4,11.3,12,4,3,2.5,8,9,13.2,7,99.7,,,,
CPFMP,Calaveras,BigTrees27,pm,2020,prefire,,0,,2,2,4,11.3,19,7,3,1.5,4,4,7.2,1,8.7,,,,
CPFMP,Calaveras,BigTrees27,pm,2020,prefire,,180,,2,2,4,11.3,28,3,1,1.5,3,7,15.3,0,20.8,,,,
CPFMP,Calaveras,BigTrees27,pm,2020,prefire,,90,,2,2,4,11.3,12,3,4,0,6.5,3.5,29.8,0,37.7,,,,
CPFMP,Calaveras,BigTrees27,pm,2020,prefire,,270,,2,2,4,11.3,28,8,2,0,9,8.5,27.8,1,16.8,,,,
CPFMP,Calaveras,BigTrees28,mm,2020,prefire,,0,,2,2,3,11.3,18,3,5,0,1,2.5,1.1,7.3,10,,,,
CPFMP,Calaveras,BigTrees28,mm,2020,prefire,,180,,2,2,3,11.3,8,2,1,3.6,3.7,2,7,2.8,5,,,,
CPFMP,Calaveras,BigTrees28,mm,2020,prefire,,90,,2,2,3,11.3,23,4,5,30,11.3,3.7,42,10.1,12.8,,,,
CPFMP,Calaveras,BigTrees28,mm,2020,prefire,,270,,2,2,3,11.3,30,1,3,4.8,5,4,10,3.3,7,,,,
CPFMP,Calaveras,BigTrees29,pm,2020,prefire,,0,,2,2,4,11.3,8,9,3,1.5,6,1.5,8.8,1,8.3,,,,
CPFMP,Calaveras,BigTrees29,pm,2020,prefire,,180,,2,2,4,11.3,11,2,1,4.5,5.5,8,16.3,2,17.3,,,,
CPFMP,Calaveras,BigTrees29,pm,2020,prefire,,90,,2,2,4,11.3,13,4,0,8.5,6.5,11.5,10.2,1,15.2,,,,
CPFMP,Calaveras,BigTrees29,pm,2020,prefire,,270,,2,2,4,11.3,2,1,0,1,12,4,48.7,1,9.3,,,,
CPFMP,Calaveras,BigTrees30,mm,2020,prefire,,0,,2,2,3,11.3,8,10,2,7.3,8,18,18,2.2,22,,,,
CPFMP,Calaveras,BigTrees30,mm,2020,prefire,,180,,2,2,3,11.3,30,9,6,3.4,3.2,2.2,9,0.8,20,,,,
CPFMP,Calaveras,BigTrees30,mm,2020,prefire,,90,29,2,2,3,11.3,8,4,2,3,2.7,2,7,4.8,0.8,,,,
CPFMP,Calaveras,BigTrees30,mm,2020,prefire,,270,27,2,2,3,11.3,23,8,5,3.9,3.3,0,7.6,0,0,,,,
CPFMP,Calaveras,BigTrees31,mm,2020,prefire,,0,,2,2,3,11.3,1,0,0,0,0.2,0.2,0.3,0,0.1,,,,
CPFMP,Calaveras,BigTrees31,mm,2020,prefire,,180,,2,2,3,11.3,0,1,2,0,0.1,3,0.2,0,15,,,,
CPFMP,Calaveras,BigTrees31,mm,2020,prefire,,90,27,2,2,3,11.3,6,3,0,0,2.2,1.5,1.2,0,0.8,,,,
CPFMP,Calaveras,BigTrees31,mm,2020,prefire,,270,,2,2,3,11.3,1,0,0,0,0.1,0,0.2,0,0.1,,,,
CPFMP,Calaveras,BigTrees32,pm,2020,prefire,,0,,2,2,4,11.3,1,1,1,0,2,4.5,56.3,0,28.2,,,,
CPFMP,Calaveras,BigTrees32,pm,2020,prefire,,180,,2,2,4,11.3,65,14,2,5,6.5,5,18.7,7,12.7,,,,
CPFMP,Calaveras,BigTrees32,pm,2020,prefire,,90,,2,2,4,11.3,38,14,2,0,6.5,3.5,43.8,0,116.8,,,,
CPFMP,Calaveras,BigTrees32,pm,2020,prefire,,270,,2,2,4,11.3,15,5,4,0,28,2,47.7,0,37.3,,,,
CPFMP,Calaveras,BigTrees33,mm,2020,prefire,,0,,2,2,3,11.3,20,22,8,3,3.6,2.8,9,3.4,9.1,,,,
CPFMP,Calaveras,BigTrees33,mm,2020,prefire,,180,,2,2,3,11.3,5,2,0,2.5,27,6.3,30,4.2,10,,,,
CPFMP,Calaveras,BigTrees33,mm,2020,prefire,,90,,2,2,3,11.3,6,3,6,6,9,0.2,18,0,0.8,,,,
CPFMP,Calaveras,BigTrees33,mm,2020,prefire,,270,,2,2,3,11.3,1,5,0,3,4,7.6,8,3.6,13,,,,
CPFMP,Calaveras,BigTrees34,pm,2020,prefire,,270,,2,2,4,11.3,18,13,4,17,8,5,45,2,22.7,,,,
CPFMP,Calaveras,BigTrees34,pm,2020,prefire,,0,,2,2,4,11.3,14,2,1,0,2,3.5,7.3,2,11.7,,,,
CPFMP,Calaveras,BigTrees34,pm,2020,prefire,,180,,2,2,4,11.3,50,19,0,4,4,6.5,11,7,15,,,,
CPFMP,Calaveras,BigTrees34,pm,2020,prefire,,90,,2,2,4,11.3,18,5,0,2.5,2.5,0.25,80,2.5,2.6,,,,
CPFMP,Calaveras,BigTrees35,pm,2020,prefire,,0,35,2,2,4,11.3,28,8,1,2.5,5,6.5,24.3,6.5,12.5,,,,
CPFMP,Calaveras,BigTrees35,pm,2020,prefire,,180,35,2,2,4,11.3,18,3,0,16.5,5.5,8,7.5,12.5,21.7,,,,
CPFMP,Calaveras,BigTrees35,pm,2020,prefire,,90,,2,2,4,11.3,24,2,0,5.5,4.5,2.5,8.2,4,14.2,,,,
CPFMP,Calaveras,BigTrees35,pm,2020,prefire,,270,,2,2,4,11.3,13,6,0,0,2.5,1.5,5.8,0,10.2,,,,
CPFMP,Calaveras,BigTrees36,pm,2020,prefire,,0,,2,2,4,11.3,7,2,2,1,8,9,138,0.5,55,,,,
CPFMP,Calaveras,BigTrees36,pm,2020,prefire,,180,,2,2,4,11.3,26,9,0,6,6.5,26,16.3,9,39.5,,,,
CPFMP,Calaveras,BigTrees36,pm,2020,prefire,,90,,2,2,4,11.3,72,14,1,4,5.5,9,14.8,1,27.7,,,,
CPFMP,Calaveras,BigTrees36,pm,2020,prefire,,270,,2,2,4,11.3,35,15,3,2,10,8,100,3.5,43,,,,
CPFMP,ConcowPyro,CONCOW001,mm,2021,prefire,,N,34,2,2,3,11.3,25,7,1,0,9,6,8,0,8.3,,,,
CPFMP,ConcowPyro,CONCOW001,mm,2021,prefire,,S,34,2,2,3,11.3,9,0,0,0,9,4,8,0,4.7,,,,
CPFMP,ConcowPyro,CONCOW001,mm,2021,prefire,,E,0,2,2,3,11.3,140,40,2,1.8,6.2,0,9.3,0,0.3,,,,
CPFMP,ConcowPyro,CONCOW001,mm,2021,prefire,,W,0,2,2,3,11.3,17,6,2,0,0.3,3.6,3.2,0,8.5,,,,
CPFMP,ConcowPyro,CONCOW002,sb,2021,prefire,,N,0,2,2,4,11.3,18,2,2,1,2,3,7.7,0,5,,,,
CPFMP,ConcowPyro,CONCOW002,sb,2021,prefire,,S,0,2,2,4,11.3,65,4,6,5,4,5,49.3,5,53.3,,,,
CPFMP,ConcowPyro,CONCOW002,sb,2021,prefire,,E,27,2,2,4,11.3,67,8,1,5,3,2,11.7,8,28,,,,
CPFMP,ConcowPyro,CONCOW002,sb,2021,prefire,,W,24,2,2,4,11.3,51,8,1,1,3,3,7,2,14.7,,,,
CPFMP,ConcowPyro,CONCOW003,mm,2021,prefire,,W,0,2,2,3,11.3,16,5,0,0,0,2,1,0,1.6,,,,
CPFMP,ConcowPyro,CONCOW003,ms,2021,prefire,,N,31,2,2,4,11.3,7,2,0,0,1,0,1,0,0.3,,,,
